No,제목,회사,지역,Link
50,체외진단의료기기 바이오 생산팀 신입/경력 채용,(주)인바이러스테크,광주 북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270002100&src=etc*search
51,[재택근무] [인천송도] 일대일 국영수사과 수업 형식 방문/화상/학원 강사채용,(주)동화세상에듀코,인천 연수구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603130004067&src=etc*search
52,골프장호텔 정규직모집,(사)한국골프캐디협회,광주 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270003867&src=etc*search
53,KPS파트너스 2026년 제1차 개방형계약직 공개채용 공고(재공고),kps파트너스 (주),경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020001903&src=etc*search
54,"[재택-대졸 이상] - 일대일 과목 코칭(국,영,수,사,과, 순수코칭 가능, 코딩가능)",(주)동화세상에듀코,인천 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260000331&src=etc*search
55,삼성생명(주) 서초사옥 컨설팅 위촉직 모집,삼성생명(주) 서초사옥,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260000912&src=etc*search
56,2026년 직무중심 대구신용보증재단 일반직원(2급 감사실장) 채용공고,대구신용보증재단,대구 달서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240000962&src=etc*search
57,2026년도 제1회 유네스코국제무예센터 신규직원(계약직) 공개채용 공고,유네스코국제무예센터,충북 충주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000730&src=etc*search
58,2026년 제2회 직원 공개채용 공고,(재)오산문화재단,경기 오산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000245&src=etc*search
59,한국수자원조사기술원 2026년 제1차 공개채용(정규직) 공고,한국수자원조사기술원,경기 고양시 일산서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230000969&src=etc*search
60,[공고 제2026-067호] (재)경남테크노파크 직속부서장(정책기획단장) 채용 공고,(재)경남테크노파크,경남 창원시 의창구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240000301&src=etc*search
61,관리직 및 현장직(영천경마장) 수시채용공고,한국마사회시설관리(주),경기 안양시 동안구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603130001547&src=etc*search
62,"2026년 1차 직원 채용 공고 (정규직, 전문/일반계약직, 일반계약직(장애인), 청년인턴(체험형) 채용)",한국의약품안전관리원,경기 안양시 동안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200002248&src=etc*search
